label,xmin,ymin,xmax,ymax,confidence score,timestamp,frame number,number of objects in frame
Car-HatchBack-:Suzuki Alto,0.0,0.36041700000000004,0.396226,0.9604170000000001,0.634311,08:33:39,1,3
Car-HatchBack-:Suzuki Alto,0.0,0.35000050000000005,0.416274,0.9583335000000001,0.789892,08:33:39,1,3
Car-HatchBack-:Suzuki Alto,5.000000000143778e-07,0.35208350000000005,0.4233495,0.9562505000000001,0.841624,08:33:39,1,2
Car-HatchBack-:Suzuki Alto,0.0,0.3499995,0.433962,0.9479165,0.859861,08:33:39,1,2
Car-HatchBack-:Suzuki Alto,0.0,0.35208350000000005,0.4375,0.9354165000000001,0.905631,08:33:39,1,2
Car-HatchBack-:Suzuki Alto,-5.000000000143778e-07,0.3520835,0.4422165,0.9312505,0.878904,08:33:39,1,3
Car-HatchBack-:Suzuki Alto,-5.000000000143778e-07,0.35833299999999996,0.4516505,0.9270829999999999,0.885914,08:33:39,1,2
Car-HatchBack-:Suzuki Alto,0.0,0.3562495,0.462264,0.9229165,0.892016,08:33:39,1,3
Car-HatchBack-:Suzuki Alto,0.0,0.36666649999999995,0.478774,0.9187494999999999,0.882519,08:33:39,1,2
Car-HatchBack-:Suzuki Alto,-5.000000000143778e-07,0.36875,0.4834905,0.9125,0.865013,08:33:39,1,2
Car-HatchBack-:Suzuki Alto,5.000000000143778e-07,0.3708335,0.4917455,0.9125004999999999,0.793846,08:33:39,1,2
Car-HatchBack-:Suzuki Alto,-5.000000000143778e-07,0.36875050000000004,0.5082545,0.9020835,0.867028,08:33:39,1,2
Car-HatchBack-:Suzuki Alto,5.000000000143778e-07,0.35833349999999997,0.3820755,0.9875005,0.873911,08:33:39,1,3
Car-HatchBack-:Suzuki Alto,0.0,0.3625,0.524764,0.8999999999999999,0.762533,08:33:39,1,2
Car-Sedan-:Honda Civic,-5.000000000143778e-07,0.36874999999999997,0.5271224999999999,0.89375,0.837331,08:33:39,1,2
Car-Sedan-:Honda Civic,0.0,0.36041700000000004,0.541274,0.8854170000000001,0.827198,08:33:39,1,2
Car-Sedan-:Honda Civic,0.0035375000000000267,0.3583335,0.5518865,0.8812504999999999,0.800639,08:33:39,1,2
Car-Sedan-:Honda Civic,0.009433999999999998,0.360417,0.5601419999999999,0.879167,0.902723,08:33:38,1,2
Car-Sedan-:Honda Civic,0.020047000000000037,0.3562505,0.573113,0.8708335,0.892731,08:33:38,1,2
Car-Sedan-:Honda Civic,0.04009399999999996,0.35833299999999996,0.581368,0.8645829999999999,0.90363,08:33:38,1,2
Car-Sedan-:Honda Civic,0.04009450000000003,0.3625005,0.5884435,0.8583335,0.922945,08:33:38,1,2
Car-Sedan-:Honda Civic,0.04363250000000002,0.3520835,0.5978775000000001,0.8479165,0.911131,08:33:38,1,2
Car-Sedan-:Honda Civic,0.045991000000000004,0.3520835,0.608491,0.8437505000000001,0.892538,08:33:38,1,2
Car-Sedan-:Honda Civic,0.04716950000000003,0.35,0.6202825000000001,0.8375,0.833394,08:33:38,1,2
Car-Sedan-:Honda Civic,0.09080200000000005,0.33958350000000004,0.625,0.8375005,0.813287,08:33:38,1,2
Car-Sedan-:Honda Civic,0.09433950000000002,0.3395834999999999,0.6308965,0.8312505,0.870845,08:33:38,1,2
Car-Sedan-:Honda Civic,0.090802,0.3312505,0.6344339999999999,0.8270835,0.865204,08:33:38,1,2
Car-Sedan-:Honda Civic,0.10495349999999998,0.32499999999999996,0.6403304999999999,0.825,0.897183,08:33:38,1,2
Car-Sedan-:Honda Civic,0.0011790000000000411,0.36874999999999997,0.522405,0.90625,0.872641,08:33:39,1,2
Car-HatchBack-:Suzuki Alto,0.0,0.3583335,0.375,0.9916665,0.868911,08:33:39,1,3
